linkid	inode	jnode	flag	obflag	detectorid
701	12608	12609	0	-1	0
702	11100	11101	0	-1	0
703	11100	11102	0	-1	0
704	12349	12281	0	-1	0
705	11628	11676	0	-1	0
706	12349	12422	0	-1	0
707	2598	2615	1	38	7289
708	12619	14055	0	-1	0
709	12132	12149	0	-1	0
710	14780	14772	0	-1	0
711	12115	11963	0	-1	0
712	11760	11785	0	-1	0
713	12385	12345	0	-1	0
714	12346	12339	0	-1	0
715	11710	11704	0	-1	0
716	11214	11096	0	-1	0
717	12349	12340	0	-1	0
718	12286	12351	0	-1	0
719	14696	14769	0	-1	0
720	11563	11613	0	-1	0
721	11635	11680	0	-1	0
722	14712	14713	0	-1	0
723	12666	12821	0	-1	0
724	14737	14736	0	-1	0
725	15212	15213	0	-1	0
726	12452	12450	0	-1	0
727	12452	12456	0	-1	0
728	15215	12180	0	-1	0
729	11090	11091	0	-1	0
730	15217	15218	0	-1	0
731	11268	11264	0	-1	0
732	11268	11267	0	-1	0
733	11168	11174	0	-1	0
734	11168	11173	0	-1	0
735	11283	11116	0	-1	0
736	12237	12224	0	-1	0
737	12119	12117	0	-1	0
738	12121	12132	0	-1	0
739	11141	11137	0	-1	0
740	12451	12447	0	-1	0
741	11685	11675	0	-1	0
742	11549	11579	1	39	7694
743	11506	11590	0	-1	0
744	12716	12863	0	-1	0
745	11332	11259	0	-1	0
746	12642	12619	0	-1	0
747	15219	15210	0	-1	0
748	11497	11496	0	-1	0
749	11668	11505	0	-1	0
750	11960	11930	0	-1	0
751	14759	11877	0	-1	0
752	11082	11080	0	-1	0
753	5176	5338	1	40	8084
754	11496	11717	0	-1	0
755	12362	12358	0	-1	0
756	12362	12352	0	-1	0
757	4964	4979	0	-1	0
758	11283	11355	0	-1	0
759	12318	12275	0	-1	0
760	11775	2520	0	-1	0
761	10939	11104	0	-1	0
762	12151	12167	0	-1	0
763	15260	12033	0	-1	0
764	12513	12401	0	-1	0
765	12520	12505	0	-1	0
766	2519	5700	0	-1	0
767	11147	11101	0	-1	0
768	12349	12336	0	-1	0
769	12318	12334	0	-1	0
770	5981	6124	0	-1	0
771	11077	11113	0	-1	0
772	11550	14786	0	-1	0
773	12521	12524	0	-1	0
774	11721	11623	0	-1	0
775	12503	12629	0	-1	0
776	11913	5744	0	-1	0
777	11476	11501	0	-1	0
778	12173	15227	0	-1	0
779	11109	11110	0	-1	0
780	12267	12218	0	-1	0
781	12108	12182	0	-1	0
782	14460	12354	0	-1	0
783	11495	4964	0	-1	0
784	12373	12376	0	-1	0
785	12484	12491	0	-1	0
786	11903	11782	0	-1	0
787	11748	2615	0	-1	0
788	2533	2568	1	41	7581
789	12507	12541	0	-1	0
790	12334	12396	0	-1	0
791	11905	11910	0	-1	0
792	11951	11870	0	-1	0
793	11055	11027	0	-1	0
794	12725	12758	0	-1	0
795	12180	12174	0	-1	0
796	12628	12629	0	-1	0
797	12099	12100	0	-1	0
798	12411	12402	0	-1	0
799	11238	11313	0	-1	0
800	12103	12355	0	-1	0
801	11104	11098	0	-1	0
802	14748	14750	0	-1	0
803	12109	12191	0	-1	0
804	11931	11936	0	-1	0
805	11313	11238	0	-1	0
806	11958	11981	0	-1	0
807	11438	11402	0	-1	0
808	11816	11864	0	-1	0
809	12455	12494	0	-1	0
810	12623	12614	0	-1	0
811	12098	12102	0	-1	0
812	11679	14190	1	42	7449
813	12196	15228	0	-1	0
814	12505	12464	0	-1	0
815	12393	12402	0	-1	0
816	11376	11418	0	-1	0
817	12184	12200	0	-1	0
818	12523	12532	0	-1	0
819	12519	12551	0	-1	0
820	14690	14689	0	-1	0
821	11770	11783	0	-1	0
822	11821	5694	0	-1	0
823	11362	11326	0	-1	0
824	15236	15238	0	-1	0
825	12547	12554	0	-1	0
826	12549	12532	0	-1	0
827	11205	11143	0	-1	0
828	12217	12115	0	-1	0
829	11046	5202	0	-1	0
830	14774	14775	0	-1	0
831	11884	11848	0	-1	0
832	11274	11261	0	-1	0
833	12656	12582	0	-1	0
834	15259	15260	0	-1	0
835	12612	12617	0	-1	0
836	11929	11940	0	-1	0
837	11714	11699	0	-1	0
838	4964	11495	0	-1	0
839	12615	12613	0	-1	0
840	11561	11566	0	-1	0
841	11967	11952	0	-1	0
842	12261	12275	0	-1	0
843	12491	12504	0	-1	0
844	5341	5347	0	-1	0
845	12724	12725	0	-1	0
846	12724	12722	0	-1	0
847	11093	11299	0	-1	0
848	12553	12536	0	-1	0
849	11089	10854	0	-1	0
850	12033	12025	0	-1	0
851	11737	11729	0	-1	0
852	11507	11494	0	-1	0
853	11178	11147	0	-1	0
854	11742	11736	0	-1	0
855	11690	11696	0	-1	0
856	12014	12034	0	-1	0
857	11782	11624	0	-1	0
858	12497	12503	0	-1	0
859	15258	15259	0	-1	0
860	12334	12318	0	-1	0
861	11878	11853	1	43	8106
862	11171	11163	0	-1	0
863	12377	12376	0	-1	0
864	15242	15243	0	-1	0
865	11335	11554	0	-1	0
866	12439	12432	0	-1	0
867	12043	11987	0	-1	0
868	12664	12656	0	-1	0
869	11821	11823	0	-1	0
870	10974	11103	0	-1	0
871	12394	12392	0	-1	0
872	12394	12397	0	-1	0
873	6124	12222	0	-1	0
874	14795	14796	0	-1	0
875	12405	12389	0	-1	0
876	12353	12363	0	-1	0
877	11687	11604	0	-1	0
878	12385	12393	0	-1	0
879	12104	12071	0	-1	0
880	11579	11592	0	-1	0
881	11942	11936	0	-1	0
882	11342	11323	0	-1	0
883	12478	12521	0	-1	0
884	12631	12629	0	-1	0
885	12338	12471	0	-1	0
886	14750	14756	1	45	8117
887	11755	11740	0	-1	0
888	12214	6882	0	-1	0
889	12357	12391	0	-1	0
890	12507	12461	0	-1	0
891	12456	12451	0	-1	0
892	11848	11884	0	-1	0
893	12469	12466	0	-1	0
894	12432	12439	0	-1	0
895	2274	11781	0	-1	0
896	11603	11599	0	-1	0
897	12461	12507	0	-1	0
898	11163	11171	0	-1	0
899	12716	12718	0	-1	0
900	11569	11583	0	-1	0
901	14052	12623	0	-1	0
902	12618	12617	0	-1	0
903	11667	11668	0	-1	0
904	11114	11116	0	-1	0
905	15234	15224	0	-1	0
906	11259	11252	0	-1	0
907	11191	11187	0	-1	0
908	11520	11441	0	-1	0
909	12479	15257	0	-1	0
910	11590	11506	0	-1	0
911	11832	11831	0	-1	0
912	11810	11721	0	-1	0
913	14754	15211	0	-1	0
914	15240	12766	0	-1	0
915	11543	11447	0	-1	0
916	12079	12043	0	-1	0
917	11376	11348	0	-1	0
918	12634	12679	0	-1	0
919	12679	12634	0	-1	0
920	11279	11315	0	-1	0
921	12493	12513	0	-1	0
922	11289	11294	0	-1	0
923	11825	12117	0	-1	0
924	11122	5453	0	-1	0
925	12527	15233	0	-1	0
926	12242	12348	0	-1	0
927	2568	11651	0	-1	0
928	11711	11707	1	47	7591
929	12034	12047	0	-1	0
